task,skill_type,run,input_tokens,output_tokens,duration_sec,passed,failed,total_tests,pass_rate,error
task_002,no_skill,1,232,1000,6.95,8,0,8,1.0,
task_002,manual_skill,1,409,564,3.89,8,0,8,1.0,
task_002,auto_skill,1,281,928,6.7,8,0,8,1.0,
task_002,no_skill,2,232,955,5.7,8,0,8,1.0,
task_002,manual_skill,2,409,613,4.08,8,0,8,1.0,
task_002,auto_skill,2,281,1000,5.82,8,0,8,1.0,
task_002,no_skill,3,232,967,7.08,8,0,8,1.0,
task_002,manual_skill,3,409,800,5.39,8,0,8,1.0,
task_002,auto_skill,3,281,850,5.69,8,0,8,1.0,
task_002,no_skill,4,232,1000,6.29,0,8,8,0.0,"unexpected character after line continuation character (<string>, line 72)"
task_002,manual_skill,4,409,506,4.24,8,0,8,1.0,
task_002,auto_skill,4,281,740,4.88,8,0,8,1.0,
task_002,no_skill,5,232,1000,6.66,8,0,8,1.0,
task_002,manual_skill,5,409,706,5.27,8,0,8,1.0,
task_002,auto_skill,5,281,930,6.09,8,0,8,1.0,
task_002,no_skill,6,232,898,5.99,8,0,8,1.0,
task_002,manual_skill,6,409,819,5.37,8,0,8,1.0,
task_002,auto_skill,6,281,815,5.46,8,0,8,1.0,
task_002,no_skill,7,232,775,4.78,8,0,8,1.0,
task_002,manual_skill,7,409,697,4.34,8,0,8,1.0,
task_002,auto_skill,7,281,775,5.43,8,0,8,1.0,
task_002,no_skill,8,232,968,6.44,8,0,8,1.0,
task_002,manual_skill,8,409,812,5.1,8,0,8,1.0,
task_002,auto_skill,8,281,1000,6.3,8,0,8,1.0,
task_002,no_skill,9,232,904,7.04,8,0,8,1.0,
task_002,manual_skill,9,409,628,4.44,8,0,8,1.0,
task_002,auto_skill,9,281,751,5.86,8,0,8,1.0,
task_002,no_skill,10,232,1000,6.21,8,0,8,1.0,
task_002,manual_skill,10,409,649,4.4,8,0,8,1.0,
task_002,auto_skill,10,281,869,5.62,8,0,8,1.0,
